,text,verbose label,course label,fine label
0,Hur utvecklades livegenskapen i och sedan lämnade Ryssland?,DESC:manner,0,4
1,Vilka filmer presenterade karaktären Popeye Doyle?,ENTY:cremat,2,9
2,Hur kan jag hitta en lista över kändisars riktiga namn?,DESC:manner,0,4
3,Vilken fjäderfä fångar rampljuset efter det kinesiska apans år?,ENTY:animal,2,6
4,Vad är den fullständiga formen av .com?,ABBR:exp,1,1
5,Vilken föraktlig skurk stal korken från min lunch?,HUM:ind,5,30
6,Vilket lag blev basebollens St. Louis Browns?,HUM:gr,5,29
7,Vad är det äldsta yrket?,HUM:title,5,31
8,Vad är leverenzymer?,DESC:def,0,2
9,Namnge den ärriga ansiktsjägaren i The Old West.,HUM:ind,5,30
10,När föddes Ozzy Osbourne?,NUM:date,3,39
11,Varför reser tyngre föremål snabbare nedåt?,DESC:reason,0,5
12,Vem var Yankees stolthet?,HUM:ind,5,30
13,Vem dödade Gandhi?,HUM:ind,5,30
14,Vad anses vara den dyraste katastrofen som försäkringsbranschen någonsin har mött?,ENTY:event,2,12
15,Vilken utbredd amerikansk stat har flest flygplatser?,LOC:state,4,36
16,Vad behandlade den enda upphävda ändringen av USA:s konstitution?,DESC:desc,0,3
17,Hur många judar avrättades i koncentrationsläger under andra världskriget?,NUM:count,3,38
18,"Vad är ""Nine Inch Nails""?",DESC:def,0,2
19,Vad är en antecknad bibliografi?,DESC:def,0,2
20,Vad är datumet för Boxing Day?,NUM:date,3,39
21,Vilka klädesplagg är poletter i Monopol?,ENTY:other,2,17
22,Namnge 11 berömda martyrer.,HUM:ind,5,30
23,Vad är det olympiska mottot?,DESC:desc,0,3
24,"Vad är ursprunget till namnet ""Scarlett""?",DESC:desc,0,3
25,Vad är den näst mest använda vokalen på engelska?,ENTY:letter,2,16
26,Vem var uppfinnaren av silly putty?,HUM:ind,5,30
27,Vad är det högsta vattenfallet i USA?,LOC:other,4,35
28,Namnge en golfbana i Myrtle Beach.,ENTY:other,2,17
29,Vilka två stater omsluter Chesapeake Bay?,LOC:state,4,36
30,Vad står förkortningen AIDS för?,ABBR:exp,1,1
31,Vad samlar en spermolog ihop?,ENTY:other,2,17
32,Hur många poäng utgör en perfekt poäng för bowling i fivepin?,NUM:count,3,38
33,"Vilket företag som tillverkar hårdvara för videospel säljer ""super-systemet""?",HUM:gr,5,29
34,Hur många Community Chest-kort finns det i Monopol?,NUM:count,3,38
35,Vad tror mormoner?,DESC:desc,0,3
36,När levde neandertalmänniskan?,NUM:date,3,39
37,I vilken religion var Isis naturgudinnan?,ENTY:religion,2,20
38,"Var äger äventyren av ""The Swiss Family Robinson"" rum?",LOC:other,4,35
39,Vilken släkting till tvättbjörnen kallas ibland kattbjörnen?,ENTY:animal,2,6
40,Hur kan jag registrera min webbplats gratis på Yahoo?,DESC:manner,0,4
41,Vad var den kontantmedvetna översten Edwin L. Drake den första att borra efter?,ENTY:other,2,17
42,Hur många människor i världen talar franska?,NUM:count,3,38
43,Hur många tum över sex fot är Venus de Milo?,NUM:count,3,38
44,Hur hittar eller väljer de vittnen till en avrättning?,DESC:manner,0,4
45,Vilken cowboystjärna från 1920-talet red Tony the Wonder Horse?,HUM:ind,5,30
46,Vilken cocktail inspirerade John Doxat att skriva boken Stirred-Not Shaken?,ENTY:food,2,13
47,Vilka internetleverantörer finns i Karibien?,HUM:gr,5,29
48,Hur frågar du ut en främling på en dejt?,DESC:manner,0,4
49,Vilket vapen är den mytologiska karaktären Apollo mest skicklig med?,ENTY:other,2,17
50,Vilket land tillhör Galapagosöarna?,LOC:country,4,33
51,Vad är etologi?,DESC:def,0,2
52,Vem var det muslimska folkets profet?,HUM:ind,5,30
53,"Var kom termen ""86ed"" ifrån?",DESC:desc,0,3
54,Vem är Snoopys ärkefiende?,HUM:ind,5,30
55,Vad är inlärningens natur?,DESC:def,0,2
56,Vilken är den enda färgen Johnny Cash bär på scenen?,ENTY:color,2,8
57,Vad är termen för en ung räv?,ENTY:termeq,2,25
58,Vilken amerikansk stat levde under sex flaggor?,LOC:state,4,36
59,Vad är Kashmirproblemet?,DESC:def,0,2
60,Var är slingan?,LOC:other,4,35
61,"Vad betyder ""utökad definition"" och hur skulle man skriva en uppsats om det?",DESC:def,0,2
62,Vilket lands huvudstad är Tirana?,LOC:country,4,33
63,Vad är titan?,DESC:def,0,2
64,Vem bor Herb och Tootsie bredvid?,HUM:ind,5,30
65,Vilken stad har det äldsta förhållandet som systerstad med Los Angeles?,LOC:city,4,32
66,Vad är en kaldera?,DESC:def,0,2
67,Varför får folk calluses?,DESC:reason,0,5
68,Vad heter turistattraktionerna i Reims?,LOC:other,4,35
69,Vad är Cushman och Wakefield kända för?,DESC:reason,0,5
70,Vilken vattenmassa flyter Donaufloden ut i?,LOC:other,4,35
71,Vem är grundaren av Scientology?,HUM:ind,5,30
72,Vad blir den sexfotiga Musca domestica när den går in i ett hus?,ENTY:other,2,17
73,Vad är historien om skateboard?,DESC:desc,0,3
74,Vem spelade i Singing in the Rain och The Singing Nun?,HUM:ind,5,30
75,Hur gör jag bränsletegel från återvunnen tidningspapper?,DESC:manner,0,4
76,Vilken målare från 1800-talet dog på Marquesasöarna?,HUM:ind,5,30
77,Corpus callosum finns i vilken del av kroppen?,ENTY:body,2,7
78,Hur loggar jag in på startsidan för huvudkontoret US European Command?,DESC:manner,0,4
79,Vilket land ockuperade nazisterna först?,LOC:country,4,33
80,Vad är Nebraskas mest värdefulla resurs?,ENTY:other,2,17
81,Hur många arter av den stora vithajen finns det?,NUM:count,3,38
82,Vad är huvudlössens ursprung?,DESC:desc,0,3
83,Vad är smeknamnet för staten Mississippi?,LOC:state,4,36
84,Vilken var den första tama fågeln?,ENTY:animal,2,6
85,Hur många villi finns i tunntarmen?,NUM:count,3,38
86,Vilket land styrde kung Wenceslas?,LOC:country,4,33
87,Vad är en rädsla för skuggor?,ENTY:dismed,2,11
88,Vem var de fem Marx-bröderna?,HUM:ind,5,30
89,Vilket år uteslöts Nya Zeeland från ANZUS-alliansen?,NUM:date,3,39
90,När började CNN sända?,NUM:date,3,39
91,Vad får kroppen att skaka i kalla temperaturer?,DESC:reason,0,5
92,Vad är björn- och tjurmarknader?,DESC:def,0,2
93,Vilken JRR Tolkien-bok har Bilbo Baggins som den centrala karaktären?,ENTY:cremat,2,9
94,"Vad är ""daggpunkt""?",DESC:def,0,2
95,Vad är meningen med Jesus?,DESC:def,0,2
96,"Vilket företags logotyp är ett ""W"" i en cirkel?",HUM:gr,5,29
97,Vad är definitionen av en kaskad?,DESC:def,0,2
98,När blomstrade rokokomålning och arkitektur?,NUM:date,3,39
99,Vilket lands nationella passagerartågsystem kallas Via?,LOC:country,4,33
100,Vem uppfann smink?,HUM:ind,5,30
101,"Vad är ursprunget till ordet ""vinden""?",DESC:desc,0,3
102,Vad gjorde Delila med Samsons hår?,DESC:desc,0,3
